tiempo,diag_group,iafas,tipo_consumo,TOTAL_NETO
2021-08-01,Otro,FISSAL,INSUMO,48034.18
2021-08-01,Otro,FISSAL,MEDICAMENTO,35262.67
2021-08-01,Otro,FISSAL,PROCEDIMIENTO,67176.05
2021-08-01,Otro,SIS,INSUMO,1698303.863
2021-08-01,Otro,SIS,MEDICAMENTO,2973984.9406
2021-08-01,Otro,SIS,PROCEDIMIENTO,3150635.41
2021-08-01,Próstata,FISSAL,INSUMO,74688.85
2021-08-01,Próstata,FISSAL,MEDICAMENTO,82079.1
2021-08-01,Próstata,FISSAL,PROCEDIMIENTO,97951.58
2021-08-01,Próstata,SIS,INSUMO,1662.3400000000001
2021-08-01,Próstata,SIS,MEDICAMENTO,1176.12
2021-08-01,Próstata,SIS,PROCEDIMIENTO,4357.28
2021-09-01,Colon,FISSAL,INSUMO,157947.59
2021-09-01,Colon,FISSAL,MEDICAMENTO,40562.496
2021-09-01,Colon,FISSAL,PROCEDIMIENTO,141191.22
2021-09-01,Colon,SIS,INSUMO,9265.29
2021-09-01,Colon,SIS,MEDICAMENTO,1656.876
